"","dateRep","day","month","year","cases","countriesAndTerritories","date","Cumulative_cases"
"206","11/02/2020",11,2,2020,0,"France",2020-02-11,11
"207","11/02/2020",11,2,2020,0,"Germany",2020-02-11,13
"208","11/02/2020",11,2,2020,0,"Spain",2020-02-11,2
"209","11/02/2020",11,2,2020,1,"United_Kingdom",2020-02-11,9
"210","11/02/2020",11,2,2020,1,"United_States_of_America",2020-02-11,13
"211","12/02/2020",12,2,2020,0,"France",2020-02-12,11
"212","12/02/2020",12,2,2020,2,"Germany",2020-02-12,15
"213","12/02/2020",12,2,2020,0,"Spain",2020-02-12,2
"214","12/02/2020",12,2,2020,0,"United_Kingdom",2020-02-12,9
"215","12/02/2020",12,2,2020,0,"United_States_of_America",2020-02-12,13
"216","13/02/2020",13,2,2020,0,"France",2020-02-13,11
"217","13/02/2020",13,2,2020,0,"Germany",2020-02-13,15
"218","13/02/2020",13,2,2020,0,"Spain",2020-02-13,2
"219","13/02/2020",13,2,2020,1,"United_Kingdom",2020-02-13,10
"220","13/02/2020",13,2,2020,1,"United_States_of_America",2020-02-13,14
"221","14/02/2020",14,2,2020,0,"France",2020-02-14,11
"222","14/02/2020",14,2,2020,0,"Germany",2020-02-14,15
"223","14/02/2020",14,2,2020,0,"Spain",2020-02-14,2
"224","14/02/2020",14,2,2020,0,"United_Kingdom",2020-02-14,10
"225","14/02/2020",14,2,2020,1,"United_States_of_America",2020-02-14,15
"226","15/02/2020",15,2,2020,0,"France",2020-02-15,11
"227","15/02/2020",15,2,2020,0,"Germany",2020-02-15,15
"228","15/02/2020",15,2,2020,0,"Spain",2020-02-15,2
"229","15/02/2020",15,2,2020,0,"United_Kingdom",2020-02-15,10
"230","15/02/2020",15,2,2020,0,"United_States_of_America",2020-02-15,15
"231","16/02/2020",16,2,2020,0,"France",2020-02-16,11
"232","16/02/2020",16,2,2020,0,"Germany",2020-02-16,15
"233","16/02/2020",16,2,2020,0,"Spain",2020-02-16,2
"234","16/02/2020",16,2,2020,0,"United_Kingdom",2020-02-16,10
"235","16/02/2020",16,2,2020,0,"United_States_of_America",2020-02-16,15
"236","17/02/2020",17,2,2020,1,"France",2020-02-17,12
"237","17/02/2020",17,2,2020,0,"Germany",2020-02-17,15
"238","17/02/2020",17,2,2020,0,"Spain",2020-02-17,2
"239","17/02/2020",17,2,2020,0,"United_Kingdom",2020-02-17,10
"240","17/02/2020",17,2,2020,0,"United_States_of_America",2020-02-17,15
"241","18/02/2020",18,2,2020,0,"France",2020-02-18,12
"242","18/02/2020",18,2,2020,0,"Germany",2020-02-18,15
"243","18/02/2020",18,2,2020,0,"Spain",2020-02-18,2
"244","18/02/2020",18,2,2020,0,"United_Kingdom",2020-02-18,10
"245","18/02/2020",18,2,2020,0,"United_States_of_America",2020-02-18,15
"246","19/02/2020",19,2,2020,0,"France",2020-02-19,12
"247","19/02/2020",19,2,2020,0,"Germany",2020-02-19,15
"248","19/02/2020",19,2,2020,0,"Spain",2020-02-19,2
"249","19/02/2020",19,2,2020,0,"United_Kingdom",2020-02-19,10
"250","19/02/2020",19,2,2020,0,"United_States_of_America",2020-02-19,15
"251","20/02/2020",20,2,2020,0,"France",2020-02-20,12
"252","20/02/2020",20,2,2020,0,"Germany",2020-02-20,15
"253","20/02/2020",20,2,2020,0,"Spain",2020-02-20,2
"254","20/02/2020",20,2,2020,0,"United_Kingdom",2020-02-20,10
"255","20/02/2020",20,2,2020,0,"United_States_of_America",2020-02-20,15
"256","21/02/2020",21,2,2020,0,"France",2020-02-21,12
"257","21/02/2020",21,2,2020,0,"Germany",2020-02-21,15
"258","21/02/2020",21,2,2020,0,"Spain",2020-02-21,2
"259","21/02/2020",21,2,2020,0,"United_Kingdom",2020-02-21,10
"260","21/02/2020",21,2,2020,1,"United_States_of_America",2020-02-21,16
"261","22/02/2020",22,2,2020,0,"France",2020-02-22,12
"262","22/02/2020",22,2,2020,0,"Germany",2020-02-22,15
"263","22/02/2020",22,2,2020,0,"Spain",2020-02-22,2
"264","22/02/2020",22,2,2020,0,"United_Kingdom",2020-02-22,10
"265","22/02/2020",22,2,2020,19,"United_States_of_America",2020-02-22,35
"266","23/02/2020",23,2,2020,0,"France",2020-02-23,12
"267","23/02/2020",23,2,2020,0,"Germany",2020-02-23,15
"268","23/02/2020",23,2,2020,0,"Spain",2020-02-23,2
"269","23/02/2020",23,2,2020,1,"United_Kingdom",2020-02-23,11
"270","23/02/2020",23,2,2020,0,"United_States_of_America",2020-02-23,35
"271","24/02/2020",24,2,2020,0,"France",2020-02-24,12
"272","24/02/2020",24,2,2020,0,"Germany",2020-02-24,15
"273","24/02/2020",24,2,2020,0,"Spain",2020-02-24,2
"274","24/02/2020",24,2,2020,0,"United_Kingdom",2020-02-24,11
"275","24/02/2020",24,2,2020,0,"United_States_of_America",2020-02-24,35
"276","25/02/2020",25,2,2020,0,"France",2020-02-25,12
"277","25/02/2020",25,2,2020,0,"Germany",2020-02-25,15
"278","25/02/2020",25,2,2020,1,"Spain",2020-02-25,3
"279","25/02/2020",25,2,2020,0,"United_Kingdom",2020-02-25,11
"280","25/02/2020",25,2,2020,18,"United_States_of_America",2020-02-25,53
"281","26/02/2020",26,2,2020,2,"France",2020-02-26,14
"282","26/02/2020",26,2,2020,2,"Germany",2020-02-26,17
"283","26/02/2020",26,2,2020,6,"Spain",2020-02-26,9
"284","26/02/2020",26,2,2020,2,"United_Kingdom",2020-02-26,13
"285","26/02/2020",26,2,2020,0,"United_States_of_America",2020-02-26,53
"286","27/02/2020",27,2,2020,3,"France",2020-02-27,17
"287","27/02/2020",27,2,2020,4,"Germany",2020-02-27,21
"288","27/02/2020",27,2,2020,8,"Spain",2020-02-27,17
"289","27/02/2020",27,2,2020,5,"United_Kingdom",2020-02-27,18
"290","27/02/2020",27,2,2020,6,"United_States_of_America",2020-02-27,59
"291","28/02/2020",28,2,2020,21,"France",2020-02-28,38
"292","28/02/2020",28,2,2020,26,"Germany",2020-02-28,47
"293","28/02/2020",28,2,2020,18,"Spain",2020-02-28,35
"294","28/02/2020",28,2,2020,4,"United_Kingdom",2020-02-28,22
"295","28/02/2020",28,2,2020,1,"United_States_of_America",2020-02-28,60
"296","29/02/2020",29,2,2020,19,"France",2020-02-29,57
"297","29/02/2020",29,2,2020,10,"Germany",2020-02-29,57
"298","29/02/2020",29,2,2020,19,"Spain",2020-02-29,54
"299","29/02/2020",29,2,2020,8,"United_Kingdom",2020-02-29,30
"300","29/02/2020",29,2,2020,6,"United_States_of_America",2020-02-29,66
"301","01/03/2020",1,3,2020,43,"France",2020-03-01,100
"302","01/03/2020",1,3,2020,54,"Germany",2020-03-01,111
"303","01/03/2020",1,3,2020,28,"Spain",2020-03-01,82
"304","01/03/2020",1,3,2020,12,"United_Kingdom",2020-03-01,42
"305","01/03/2020",1,3,2020,3,"United_States_of_America",2020-03-01,69
"306","02/03/2020",2,3,2020,30,"France",2020-03-02,130
"307","02/03/2020",2,3,2020,18,"Germany",2020-03-02,129
"308","02/03/2020",2,3,2020,54,"Spain",2020-03-02,136
"309","02/03/2020",2,3,2020,5,"United_Kingdom",2020-03-02,47
"310","02/03/2020",2,3,2020,20,"United_States_of_America",2020-03-02,89
"311","03/03/2020",3,3,2020,48,"France",2020-03-03,178
"312","03/03/2020",3,3,2020,28,"Germany",2020-03-03,157
"313","03/03/2020",3,3,2020,56,"Spain",2020-03-03,192
"314","03/03/2020",3,3,2020,22,"United_Kingdom",2020-03-03,69
"315","03/03/2020",3,3,2020,14,"United_States_of_America",2020-03-03,103
"316","04/03/2020",4,3,2020,34,"France",2020-03-04,212
"317","04/03/2020",4,3,2020,39,"Germany",2020-03-04,196
"318","04/03/2020",4,3,2020,75,"Spain",2020-03-04,267
"319","04/03/2020",4,3,2020,40,"United_Kingdom",2020-03-04,109
"320","04/03/2020",4,3,2020,22,"United_States_of_America",2020-03-04,125
"321","05/03/2020",5,3,2020,73,"France",2020-03-05,285
"322","05/03/2020",5,3,2020,66,"Germany",2020-03-05,262
"323","05/03/2020",5,3,2020,81,"Spain",2020-03-05,348
"324","05/03/2020",5,3,2020,55,"United_Kingdom",2020-03-05,164
"325","05/03/2020",5,3,2020,34,"United_States_of_America",2020-03-05,159
"326","06/03/2020",6,3,2020,138,"France",2020-03-06,423
"327","06/03/2020",6,3,2020,138,"Germany",2020-03-06,400
"328","06/03/2020",6,3,2020,183,"Spain",2020-03-06,531
"329","06/03/2020",6,3,2020,56,"United_Kingdom",2020-03-06,220
"330","06/03/2020",6,3,2020,74,"United_States_of_America",2020-03-06,233
"331","07/03/2020",7,3,2020,190,"France",2020-03-07,613
"332","07/03/2020",7,3,2020,284,"Germany",2020-03-07,684
"333","07/03/2020",7,3,2020,233,"Spain",2020-03-07,764
"334","07/03/2020",7,3,2020,51,"United_Kingdom",2020-03-07,271
"335","07/03/2020",7,3,2020,105,"United_States_of_America",2020-03-07,338
